datetime,time_step,Electricity Pricing [$/kWh],1h Prediction Electricity Pricing [$],2h Prediction Electricity Pricing [$],3h Prediction Electricity Pricing [$],DR_Event_Timestep,DR_Event_Start,DR_Event,DR_Day
2022-01-07 4:00,148,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 5:00,149,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 6:00,150,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 7:00,151,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 8:00,152,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 9:00,153,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 10:00,154,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 11:00,155,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 12:00,156,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 13:00,157,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 14:00,158,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 15:00,159,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 16:00,160,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 17:00,161,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 18:00,162,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 19:00,163,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 20:00,164,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 21:00,165,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 22:00,166,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-07 23:00,167,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 0:00,168,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 1:00,169,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 2:00,170,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 3:00,171,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 4:00,172,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 5:00,173,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 6:00,174,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 7:00,175,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 8:00,176,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 9:00,177,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 10:00,178,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 11:00,179,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 12:00,180,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 13:00,181,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 14:00,182,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 15:00,183,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 16:00,184,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 17:00,185,0.04582,0.04582,0.04582,0.04582,0,0,0,0
2022-01-08 18:00,186,0.04582,0.04582,0.04582,0.04582,0,0,0,0
